index,ninety_percentile,geoid
354,52.0,10005
355,54.0,26105
356,77.0,55105
357,49.0,53013
358,89.0,41039
359,49.0,17085
360,29.0,30013
361,50.0,30029
362,61.0,21067
363,51.0,21091
364,44.0,46013
365,46.0,48469
366,71.0,26147
367,42.0,53037
368,48.0,54093
369,63.0,21059
370,56.0,29097
371,29.0,41061
372,58.0,13151
373,67.0,42021
374,46.0,47107
375,97.0,08001
376,58.0,42069
377,54.0,40037
378,71.0,09013
379,59.0,12031
380,47.0,21113
381,71.0,40075
382,48.0,37033
383,51.0,39057
384,49.0,01003
385,51.0,42131
386,50.0,37107
387,65.0,18167
388,58.0,18039
389,48.0,48303
390,52.0,12085
391,50.0,13085
392,8.0,51143
393,42.0,02068
394,68.0,20209
395,54.0,26157
396,68.0,39095
397,49.0,18043
398,58.0,37075
399,54.0,51071
400,58.0,53061
401,93.0,35015
402,50.0,51197
403,66.0,13303
404,66.0,53077
405,63.0,05143
406,67.0,55035
407,67.0,04005
408,60.0,20191
409,51.0,39007
410,58.0,48167
411,64.0,39135
412,78.0,48201
413,50.0,25017
414,60.0,26161
415,58.0,44009
416,69.0,53047
417,51.0,53063
418,53.0,55041
419,58.0,34017
420,74.0,39151
421,50.0,51153
422,61.0,42029
423,47.0,47145
424,46.0,53009
425,57.0,53065
426,56.0,19177
427,58.0,12033
428,75.0,48439
429,67.0,24033
430,71.0,40085
431,65.0,39099
432,66.0,17089
433,49.0,06017
434,43.0,41019
435,49.0,42089
436,48.0,05101
437,44.0,22077
438,64.0,31067
439,69.0,13095
440,47.0,16017
441,50.0,24027
442,115.0,49035
443,60.0,09003
444,51.0,09015
445,64.0,36085
446,68.0,45045
447,62.0,06113
448,44.0,46071
449,50.0,51036
450,58.0,18083
451,27.0,20057
452,6.0,38105
453,77.0,38017
454,63.0,19103
455,59.0,20133
456,46.0,21089
457,67.0,49017
458,97.0,02090
459,40.0,21101
460,47.0,30027
461,53.0,24023
462,49.0,46033
463,58.0,33013
464,71.0,42133
465,61.0,13097
466,71.0,38007
467,70.0,56005
468,42.0,22093
469,49.0,01117
470,51.0,26019
471,64.0,36029
472,61.0,24031
473,54.0,51013
474,17.0,51035
475,54.0,29183
476,56.0,06069
477,39.0,41009
478,53.0,45041
479,67.0,49053
480,49.0,42047
481,49.0,18013
482,68.0,18019
483,64.0,13135
484,48.0,36079
485,47.0,30089
486,49.0,47125
487,43.0,53051
488,51.0,21029
489,70.0,30053
490,59.0,27021
491,39.0,08007
492,71.0,55087
493,50.0,29186
494,57.0,19137
495,56.0,05067
496,38.0,22079
497,67.0,37087
498,57.0,27037
499,58.0,41025
500,49.0,21015
501,49.0,21229
502,50.0,56025
503,54.0,48139
504,48.0,12035
505,50.0,23031
506,61.0,46029
507,51.0,13231
508,49.0,34025
509,46.0,27075
510,40.0,06023
511,71.0,27003
512,68.0,18141
513,48.0,23019
514,150.0,06065
515,101.0,06029
516,54.0,55119
517,60.0,44007
518,63.0,45083
519,50.0,55073
520,27.0,32007
521,51.0,26165
522,61.0,42013
523,60.0,27123
524,50.0,32019
525,51.0,12071
526,56.0,41033
527,63.0,16059
528,60.0,31153
529,58.0,17157
530,46.0,23011
531,50.0,42111
532,58.0,37081
533,74.0,16001
534,67.0,13245
535,34.0,08107
536,75.0,06011
537,54.0,42049
538,54.0,51161
539,50.0,12005
540,74.0,40109
541,45.0,37099
542,14.0,51670
543,67.0,17201
544,87.0,04007
545,50.0,21043
546,40.0,53073
547,55.0,34029
548,61.0,40031
549,55.0,26049
550,46.0,06015
551,46.0,53007
552,67.0,40027
553,49.0,30083
554,54.0,05003
555,49.0,27163
556,59.0,42051
557,28.0,12107
558,62.0,21013
559,54.0,27035
560,105.0,08123
561,61.0,19153
562,60.0,48349
563,51.0,47187
564,54.0,56021
565,62.0,53003
566,54.0,13247
567,71.0,35045
568,115.0,06019
569,57.0,17167
570,45.0,48231
571,58.0,40113
572,50.0,21195
573,55.0,37035
574,6.0,17179
575,110.0,08069
576,61.0,21227
577,48.0,22017
578,46.0,37113
579,4.0,17099
580,52.0,16015
581,37.0,55081
582,52.0,12047
583,53.0,02170
584,54.0,18035
585,51.0,28045
586,67.0,47093
587,46.0,23017
588,66.0,29095
589,64.0,16079
590,57.0,21145
591,63.0,27145
592,49.0,47025
593,84.0,55101
594,43.0,36065
595,64.0,40121
596,69.0,55027
597,87.0,06039
598,38.0,56031
599,54.0,37101
600,66.0,06085
601,56.0,45019
602,54.0,53005
603,54.0,29189
604,67.0,06103
605,72.0,55025
606,51.0,26063
607,43.0,13069
608,49.0,22051
609,47.0,22103
610,58.0,39027
611,57.0,39093
612,43.0,48373
613,74.0,24025
614,57.0,45037
615,50.0,37129
616,55.0,51003
617,26.0,53023
618,23.0,27031
619,54.0,22033
620,67.0,26081
621,50.0,37147
622,54.0,12105
623,52.0,33015
624,56.0,53033
625,32.0,41017
626,59.0,19155
627,69.0,13121
628,71.0,55055
629,49.0,48221
630,110.0,32031
631,74.0,09001
632,80.0,06077
633,49.0,21221
634,58.0,24029
635,60.0,46103
636,48.0,12111
637,58.0,36055
638,55.0,13185
639,24.0,15007
640,67.0,26099
641,58.0,18147
642,39.0,51710
643,61.0,37179
644,74.0,38053
645,46.0,12091
646,67.0,06001
647,58.0,34015
648,51.0,33011
649,41.0,37121
650,33.0,41065
651,47.0,54025
652,51.0,35029
653,64.0,48355
654,50.0,56045
655,56.0,01089
656,54.0,47189
657,1.0,48161
658,52.0,51520
659,64.0,17197
660,71.0,46011
661,64.0,29047
662,49.0,18011
663,67.0,19163
664,53.0,12023
665,52.0,12059
666,53.0,28047
667,48.0,27017
668,49.0,39009
669,77.0,39081
670,54.0,54049
671,54.0,34011
672,131.0,06057
673,56.0,21199
674,54.0,37065
675,58.0,13213
676,51.0,12021
677,53.0,12003
678,54.0,28059
679,61.0,21037
680,58.0,09005
681,64.0,35039
682,74.0,17119
683,61.0,48085
684,54.0,12115
685,35.0,04015
686,51.0,04025
687,50.0,45051
688,71.0,42091
689,49.0,34027
690,49.0,48039
691,73.0,39113
692,48.0,26017
693,64.0,47157
694,64.0,06007
695,65.0,55009
696,38.0,22109
697,58.0,19111
698,90.0,08047
699,64.0,40087
700,67.0,37119
701,58.0,34013
702,51.0,48135
703,30.0,53027
704,56.0,54003
705,74.0,48121
706,61.0,37199
707,10.0,17133
708,64.0,13295
709,32.0,53015
710,63.0,06047
711,58.0,40043
712,33.0,42123
713,62.0,22015
714,48.0,29027
715,80.0,56001
716,21.0,56029
717,71.0,36081
718,62.0,19193
719,64.0,29099
720,50.0,29113
721,56.0,13051
722,49.0,23005
723,59.0,48013
724,71.0,05119
725,64.0,16005
726,71.0,39055
727,140.0,06107
728,49.0,36117
729,49.0,51163
730,71.0,42045
731,50.0,36063
732,51.0,50003
733,60.0,37183
734,77.0,39061
735,66.0,34003
736,66.0,17043
737,16.0,48493
738,74.0,04012
739,44.0,26115
740,51.0,21139
741,67.0,42001
742,65.0,47037
743,80.0,49047
744,90.0,49049
745,50.0,36047
746,31.0,16083
747,61.0,26077
748,47.0,56019
749,4.0,18027
750,27.0,46065
751,54.0,29077
752,64.0,42077
753,105.0,06099
754,74.0,42095
755,61.0,01103
756,54.0,21213
757,16.0,39029
758,48.0,12097
759,65.0,36061
760,56.0,12083
761,60.0,34041
762,62.0,35025
763,49.0,56033
764,58.0,42041
765,48.0,42055
766,49.0,42079
767,61.0,01113
768,77.0,17097
769,58.0,36013
770,54.0,13067
771,46.0,39013
772,54.0,24017
773,32.0,19033
774,44.0,53071
775,67.0,48113
776,46.0,22073
777,45.0,22095
778,90.0,08019
779,58.0,47155
